Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
1995-04-18,270834,53491,4571,48920
1995-04-25,259968,46462,4135,42327
1995-05-02,239375,28737,4654,24083
1995-05-09,225753,11961,13694,-1733
1995-05-16,219029,13017,16343,-3326
1995-05-23,229431,11878,21885,-10007
1995-05-30,210370,12245,16358,-4113
1995-06-06,222778,13779,17340,-3561
1995-06-13,217161,17974,11194,6780
1995-06-20,246779,36134,5297,30837
1995-06-27,233644,30032,4562,25470
1995-07-03,224807,18742,18909,-167
1995-07-11,235665,14998,24859,-9861
1995-07-18,226761,22090,11732,10358
1995-07-25,219155,17277,13393,3884
1995-08-01,219921,13726,38413,-24687
1995-08-08,229933,15331,44046,-28715
1995-08-15,225823,17548,30102,-12554
1995-08-22,230584,14193,42004,-27811
1995-08-29,231970,15544,45740,-30196
1995-09-05,239153,14643,52458,-37815
1995-09-12,238276,20875,42118,-21243
1995-09-19,240625,23163,36949,-13786
1995-09-26,236758,17608,37648,-20040
1995-10-03,231369,13970,41142,-27172
1995-10-10,244307,19849,38044,-18195
1995-10-17,246485,16040,40020,-23980
1995-10-24,255081,14053,52252,-38199
1995-10-31,257725,15346,51052,-35706
1995-11-07,258734,17569,40541,-22972
1995-11-14,230555,24093,15188,8905
1995-11-21,213952,18437,14810,3627
1995-11-28,217488,16836,17103,-267
1995-12-05,205466,15749,15874,-125
1995-12-12,211973,24900,13276,11624
1995-12-19,207157,16613,12569,4044
1995-12-26,203366,16205,12925,3280
1996-01-02,217382,24798,11963,12835
1996-01-09,280266,63054,6969,56085
1996-01-16,285396,69403,7178,62225
1996-01-23,314041,80558,4667,75891
1996-01-30,318335,79056,5239,73817
1996-02-06,350544,80479,6972,73507
1996-02-13,323614,60885,4876,56009
1996-02-20,314048,52220,6151,46069
1996-02-27,314214,46752,4931,41821
1996-03-05,294730,33195,10170,23025
1996-03-12,280304,33574,9934,23640
1996-03-19,268780,28017,12861,15156
1996-03-26,283359,40565,8658,31907
1996-04-02,264462,33681,11247,22434
1996-04-09,280096,39927,12773,27154
1996-04-16,277315,21951,17700,4251
1996-04-23,284906,22334,23313,-979
1996-04-30,293583,24602,25545,-943
1996-05-07,299841,28585,21312,7273
1996-05-14,279759,23872,28007,-4135
1996-05-21,278134,23527,35489,-11962
1996-05-28,279188,24581,33850,-9269
1996-06-04,256689,24456,37492,-13036
1996-06-11,263315,15239,54089,-38850
1996-06-18,269540,18586,50966,-32380
1996-06-25,270719,19221,49505,-30284
1996-07-02,270230,11567,52339,-40772
1996-07-09,271184,11964,49560,-37596
1996-07-16,250004,11735,41055,-29320
1996-07-23,239460,14196,38658,-24462
1996-07-30,234627,14175,34323,-20148
1996-08-06,230514,17435,15557,1878
1996-08-13,230591,16789,14598,2191
1996-08-20,229576,15404,17023,-1619
1996-08-27,234967,16745,15025,1720
1996-09-03,231238,10422,24896,-14474
1996-09-10,253087,9530,56499,-46969
1996-09-17,254442,10102,62248,-52146
1996-09-24,253447,9146,65893,-56747
1996-10-01,260245,9218,71139,-61921
1996-10-08,258393,11253,67926,-56673
1996-10-15,261892,12870,65639,-52769
1996-10-22,257035,11009,48083,-37074
1996-10-29,254007,8890,54704,-45814
1996-11-05,261847,9954,64756,-54802
1996-11-12,249496,15451,53232,-37781
1996-11-19,232977,10834,50081,-39247
1996-11-26,251568,8031,64224,-56193
1996-12-03,250446,9534,65134,-55600
1996-12-10,250199,10287,50690,-40403
1996-12-17,250013,9551,49497,-39946
1996-12-24,254443,7963,49725,-41762
1996-12-31,258554,7329,53856,-46527
1997-01-07,277673,6533,60124,-53591
1997-01-14,271474,5901,61358,-55457
1997-01-21,278361,5767,58910,-53143
1997-01-28,270412,9057,49157,-40100
1997-02-04,277151,7767,56044,-48277
1997-02-11,281937,5840,54841,-49001
1997-02-18,286554,11399,47711,-36312
1997-02-25,288423,13092,33501,-20409
1997-03-04,284364,21177,16124,5053
1997-03-11,278643,14683,14841,-158
1997-03-18,252822,11872,21219,-9347
1997-03-25,244172,15597,21834,-6237
1997-04-01,236110,10070,18053,-7983
1997-04-08,232027,9184,16760,-7576
1997-04-15,241537,7944,35518,-27574
1997-04-22,245113,8871,44091,-35220
1997-04-29,246102,8249,45662,-37413
1997-05-06,250794,9730,46432,-36702
1997-05-13,227217,17214,28433,-11219
1997-05-20,222590,12916,37374,-24458
1997-05-27,221772,12984,36087,-23103
1997-06-03,213326,11856,35869,-24013
1997-06-10,226071,11573,39927,-28354
1997-06-17,229376,11205,41428,-30223
1997-06-24,253008,11692,59873,-48181
1997-07-01,272823,7356,71904,-64548
1997-07-08,314536,7431,79522,-72091
1997-07-15,297221,7633,77978,-70345
1997-07-22,287134,11483,68297,-56814
1997-07-29,279003,12102,64076,-51974
1997-08-05,282559,6614,73875,-67261
1997-08-12,279213,14855,60995,-46140
1997-08-19,286277,7157,60291,-53134
1997-08-26,287175,8077,57034,-48957
1997-09-02,286627,6598,63438,-56840
1997-09-09,295455,6583,62718,-56135
1997-09-16,283664,6388,61141,-54753
1997-09-23,278562,6451,62670,-56219
1997-09-30,278217,26698,38199,-11501
1997-10-07,272953,44161,27361,16800
1997-10-14,262797,32276,35197,-2921
1997-10-21,259170,15053,41124,-26071
1997-10-28,318139,7337,71431,-64094
1997-11-04,321968,7566,71379,-63813
1997-11-11,320862,8275,68958,-60683
1997-11-18,286754,11805,62637,-50832
1997-11-25,268321,7355,67577,-60222
1997-12-02,275204,9267,68508,-59241
1997-12-09,283247,8434,71274,-62840
1997-12-16,271969,7252,66689,-59437
1997-12-23,271782,8737,59974,-51237
1997-12-30,267269,6748,58626,-51878
1998-01-06,280730,5570,65915,-60345
1998-01-13,265182,7659,65249,-57590
1998-01-20,260248,7814,58791,-50977
1998-01-27,256696,10605,33119,-22514
1998-02-03,262758,11810,34654,-22844
1998-02-10,273443,12699,33222,-20523
1998-02-17,266814,10904,35811,-24907
1998-02-24,272980,9879,43109,-33230
1998-03-03,276808,12022,38621,-26599
1998-03-10,278261,10858,43548,-32690
1998-03-17,274801,8421,54008,-45587
1998-03-24,252210,8736,44314,-35578
1998-03-31,242862,15879,31114,-15235
1998-04-07,277782,38357,24265,14092
1998-04-14,274308,41573,25722,15851
1998-04-21,278410,44864,25194,19670
1998-04-28,272096,44271,20134,24137
1998-05-05,258803,35670,24440,11230
1998-05-12,223279,12634,31839,-19205
1998-05-19,223512,12148,30167,-18019
1998-05-26,219726,11537,34134,-22597
1998-06-02,249571,5854,59291,-53437
1998-06-09,257565,6894,56499,-49605
1998-06-16,268857,4473,64066,-59593
1998-06-23,255413,5155,40979,-35824
1998-06-30,251553,4926,38444,-33518
1998-07-07,254441,7649,40343,-32694
1998-07-14,246031,6146,40945,-34799
1998-07-21,244418,6052,36500,-30448
1998-07-28,239728,6415,44763,-38348
1998-08-04,261286,6907,64380,-57473
1998-08-11,274463,8022,65298,-57276
1998-08-18,284231,11256,68610,-57354
1998-08-25,297026,10703,68913,-58210
1998-09-01,312572,7324,73076,-65752
1998-09-08,303896,11112,55334,-44222
1998-09-15,275660,11663,25976,-14313
1998-09-22,278492,13165,27597,-14432
1998-09-29,288094,20952,20308,644
1998-10-06,311009,39979,9868,30111
1998-10-13,296742,35967,6831,29136
1998-10-20,289297,31266,7807,23459
1998-10-27,287661,21984,9762,12222
1998-11-03,279299,9640,27111,-17471
1998-11-10,270055,12212,15090,-2878
1998-11-17,227251,14458,9319,5139
1998-11-24,227268,16575,8319,8256
1998-12-01,219769,10609,15337,-4728
1998-12-08,225373,11486,15553,-4067
1998-12-15,226216,8295,20186,-11891
1998-12-22,241414,6791,33427,-26636
1998-12-29,247842,6264,40631,-34367
1999-01-05,259687,8018,50237,-42219
1999-01-12,249749,10278,48642,-38364
1999-01-19,264384,8970,60777,-51807
1999-01-26,264346,8459,66700,-58241
1999-02-02,268646,12931,68770,-55839
1999-02-09,269427,8836,66393,-57557
1999-02-16,270868,7746,72605,-64859
1999-02-23,277963,7831,74528,-66697
1999-03-02,279314,16128,71421,-55293
1999-03-09,277706,33547,31858,1689
1999-03-16,245396,10759,38978,-28219
1999-03-23,254940,8524,59545,-51021
1999-03-30,273449,6016,85760,-79744
1999-04-06,282126,7959,96301,-88342
1999-04-13,275928,11552,91272,-79720
1999-04-20,278123,11697,83954,-72257
1999-04-27,286030,12806,92624,-79818
1999-05-04,274563,19356,65998,-46642
1999-05-11,281813,13668,73254,-59586
1999-05-18,278847,9034,86961,-77927
1999-05-25,286157,8296,92378,-84082
1999-06-01,291611,22155,87833,-65678
1999-06-08,310828,9153,92554,-83401
1999-06-15,324488,10770,91521,-80751
1999-06-22,331575,9324,94715,-85391
1999-06-29,329120,9031,90665,-81634
1999-07-06,340929,9909,93057,-83148
1999-07-13,308511,9625,85766,-76141
1999-07-20,307360,9198,86670,-77472
1999-07-27,293152,14844,80521,-65677
1999-08-03,298852,17839,71353,-53514
1999-08-10,307917,16062,67367,-51305
1999-08-17,308577,22692,53167,-30475
1999-08-24,307959,15983,71521,-55538
1999-08-31,320503,19653,74967,-55314
1999-09-07,324438,18778,75286,-56508
1999-09-14,310044,21504,68852,-47348
1999-09-21,318970,31854,61077,-29223
1999-09-28,474595,63659,41069,22590
1999-10-05,512607,59567,31672,27895
1999-10-12,501362,50186,14243,35943
1999-10-19,492113,46638,13862,32776
1999-10-26,449240,40966,12634,28332
1999-11-02,454003,35699,11374,24325
1999-11-09,443292,31193,11045,20148
1999-11-16,356465,32280,9696,22584
1999-11-23,355052,38846,9552,29294
1999-11-30,334218,35114,10622,24492
1999-12-07,315082,26896,11956,14940
1999-12-14,301410,12928,15406,-2478
1999-12-21,320393,17145,20435,-3290
1999-12-28,332618,17861,19963,-2102
2000-01-04,309856,16855,21926,-5071
2000-01-11,305508,21893,21841,52
2000-01-18,276473,25196,18951,6245
2000-01-25,271210,24056,17240,6816
2000-02-01,257978,23576,20602,2974
2000-02-08,337869,48581,19759,28822
2000-02-15,344235,50402,8532,41870
2000-02-22,361751,60138,6783,53355
2000-02-29,331484,45451,7929,37522
2000-03-07,319007,42125,8512,33613
2000-03-14,287736,36715,11597,25118
2000-03-21,291373,35434,12549,22885
2000-03-28,264550,15555,25123,-9568
2000-04-04,278250,18124,39047,-20923
2000-04-11,274049,15132,37321,-22189
2000-04-18,272858,16100,35998,-19898
2000-04-25,270539,16000,41982,-25982
2000-05-02,282070,15357,48616,-33259
2000-05-09,277767,16052,43119,-27067
2000-05-16,235261,14165,44296,-30131
2000-05-23,237926,13801,52077,-38276
2000-05-30,233723,15844,59340,-43496
2000-06-06,235328,23849,27590,-3741
2000-06-13,229685,30339,14168,16171
2000-06-20,232484,31736,10549,21187
2000-06-27,229537,30366,12419,17947
2000-07-05,234086,30224,12780,17444
2000-07-11,227343,26739,15095,11644
2000-07-18,205510,24719,17577,7142
2000-07-25,191412,23171,20730,2441
